state_fips_code,state_name,forecast_date,prediction_date,new_confirmed,cumulative_confirmed,new_deaths,cumulative_deaths,hospitalized_patients,intensive_care_patients,ventilator_patients,recovered,new_confirmed_ground_truth,cumulative_confirmed_ground_truth,new_deaths_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,intensive_care_patients_ground_truth,ventilator_patients_ground_truth,recovered_documented_ground_truth
29,Missouri,2020-08-24,2020-07-15,,,,,,,,,738.0,26763.0,5.0,1083.0,875.0,,86.0,
05,Arkansas,2020-08-24,2020-07-15,,,,,,,,,485.0,30297.0,4.0,335.0,458.0,,94.0,23523.0
36,New York,2020-08-24,2020-07-15,,,,,,,,,831.0,404006.0,19.0,32427.0,831.0,165.0,94.0,71782.0
28,Mississippi,2020-08-24,2020-07-15,,,,,,,,,1025.0,38567.0,18.0,1290.0,1099.0,240.0,132.0,25932.0
22,Louisiana,2020-08-24,2020-07-15,,,,,,,,,2089.0,84131.0,16.0,3461.0,1369.0,,149.0,53288.0
18,Indiana,2020-08-24,2020-07-15,,,,,,,,,685.0,53370.0,10.0,2785.0,881.0,284.0,79.0,39571.0
26,Michigan,2020-08-24,2020-07-15,,,,,,,,,1045.0,74555.0,4.0,6257.0,543.0,184.0,107.0,53867.0
04,Arizona,2020-08-24,2020-07-15,,,,,,,,,3257.0,131354.0,97.0,2434.0,3493.0,929.0,671.0,16155.0
33,New Hampshire,2020-08-24,2020-04-06,,,,,,,,,94.0,715.0,0.0,9.0,,,,147.0
30,Montana,2020-08-24,2020-04-06,,,,,,,,,13.0,299.0,0.0,6.0,,,,
02,Alaska,2020-08-24,2020-04-06,,,,,,,,,5.0,190.0,0.0,6.0,,,,
56,Wyoming,2020-08-24,2020-04-06,,,,,,,,,13.0,210.0,0.0,0.0,,,,52.0
23,Maine,2020-08-24,2020-04-06,,,,,,,,,29.0,499.0,0.0,10.0,,,,158.0
21,Kentucky,2020-08-24,2020-04-06,,,,,,,,,0.0,955.0,0.0,45.0,,,,
41,Oregon,2020-08-24,2020-04-06,,,,,,,,,0.0,1068.0,0.0,27.0,,,40.0,
32,Nevada,2020-08-24,2020-04-06,,,,,,,,,98.0,1953.0,0.0,46.0,,,,
46,South Dakota,2020-08-24,2020-04-06,,,,,,,,,48.0,288.0,2.0,4.0,,,,91.0
11,District of Columbia,2020-08-24,2020-04-06,,,,,,,,,95.0,1097.0,2.0,24.0,,,,287.0
20,Kansas,2020-08-24,2020-04-06,,,,,,,,,98.0,849.0,3.0,25.0,,,,
45,South Carolina,2020-08-24,2020-04-06,,,,,,,,,183.0,2232.0,4.0,48.0,,,,
55,Wisconsin,2020-08-24,2020-04-06,,,,,,,,,129.0,2449.0,4.0,78.0,,,,
49,Utah,2020-08-24,2020-04-06,,,,,,,,,72.0,1596.0,5.0,12.0,,,,
28,Mississippi,2020-08-24,2020-04-06,,,,,,,,,100.0,1738.0,8.0,51.0,,,,
51,Virginia,2020-08-24,2020-04-06,,,,,,,,,238.0,2878.0,14.0,66.0,,,,
12,Florida,2020-08-24,2020-04-06,,,,,,,,,974.0,13324.0,15.0,236.0,,,,
